"Day","Cash On Hand"
11,224930
12,546532
13,639076
14,75418
15,535980
16,646707
17,424215
18,615932
19,668612
20,710499
21,546295
22,340637
23,153404
24,278743
25,1421809
26,2225961
27,1975365
28,2579827
29,2806108
30,3417101
31,3729031
32,4375975
33,7622252
34,9719577
35,10228790
36,8606102
37,8284855
38,8770259
39,9435801
40,10137213
41,11265837
42,11802476
43,12239312
44,15425546
45,19667957
46,19626798
47,19782738
48,20398876
49,20456187
50,20847391
51,22681057
52,25291154
53,26335970
54,27148093
55,25861207
56,20350063
57,23296381
58,23952689
59,23241757
60,23162919
61,24241306
62,24205334
63,25535382
64,26805545
65,29565425
66,29959259
67,30198449
68,29946866
69,30354204
70,33968479
71,36536750
72,35973359
73,37043379
74,38309985
75,39260807
76,41248555
77,38920430
78,39827984
79,42219369
80,43052740
81,43648686
82,44256129
83,45714867
84,49994825
85,51330817
86,51214796
87,51549234
88,49358500
89,49681194
90,49056640
