"Day","Sales","Trading Profit","Operating Expense","Net Profit"
31,26105888,12517249,4195743,8321506
32,27120389,13255910,4270946,8984964
33,31426760,16319260,4393294,11925966
34,34220411,18246766,4531754,13715012
35,36902799,17998617,4986283,13012334
36,38806944,19609493,5177310,14432183
37,39754452,20107771,5290299,14817472
38,40767509,19618263,5592786,14025477
39,42083322,20601927,5764991,14836936
40,43186367,21317508,5872807,15444701
41,44536785,21861921,6107935,15753986
42,45490969,22486253,6211982,16274271
43,46531365,21483871,6654156,14829715
44,49787152,23884878,6737043,17147835
45,55495935,28691505,7056461,21635044
46,56411772,28712478,7275495,21436983
47,57293355,29352705,7356272,21996433
48,58157030,30020374,7497143,22523231
49,58916344,30562949,7651147,22911802
50,59976184,31380990,7757478,23623512
51,62363296,33514434,7948053,25566381
52,65437951,35710441,8084852,27625589
53,67504222,37242429,8202068,29040361
54,69747257,38834529,8893021,29941508
55,70827134,39643153,9197413,30445740
56,71944610,40144496,9476502,30667994
57,75293915,42968264,9703738,33264526
58,77170617,44558977,9886001,34672976
59,78166612,45225669,10023977,35201692
60,79156866,45675478,10201098,35474380
